2025-09-22 12:26:46.579 [restartedMain] INFO  c.prenotazioni.PrenotazioniAuleBackendApplication - Starting PrenotazioniAuleBackendApplication using Java 17.0.3.1 with PID 8728 (C:\Users\Utente\Desktop\PrenotazioniAuleFullStack\backend\target\classes started by Utente in C:\Users\Utente\Desktop\PrenotazioniAuleFullStack\backend)
2025-09-22 12:26:46.580 [restartedMain] INFO  c.prenotazioni.PrenotazioniAuleBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-22 12:26:46.652 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-09-22 12:26:46.652 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-09-22 12:26:47.754 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-09-22 12:26:47.848 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 82 ms. Found 4 JPA repository interfaces.
2025-09-22 12:26:48.784 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-22 12:26:48.799 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-22 12:26:48.803 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-09-22 12:26:48.804 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-09-22 12:26:48.898 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-22 12:26:48.899 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2246 ms
2025-09-22 12:26:49.188 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-09-22 12:26:49.266 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-09-22 12:26:49.318 [restartedMain] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-09-22 12:26:49.667 [restartedMain] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-09-22 12:26:49.705 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-22 12:26:49.898 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1cf91e99
2025-09-22 12:26:49.902 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-22 12:26:49.979 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-09-22 12:26:51.086 [restartedMain] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-09-22 12:26:51.190 [restartedMain] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-09-22 12:26:51.669 [restartedMain] INFO  o.s.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-09-22 12:26:52.884 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-09-22 12:26:52.931 [restartedMain] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: d6f0a3ea-1620-42bd-849f-ce9ca457ea08

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-09-22 12:26:53.294 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4932091d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3c508cb8, org.springframework.security.web.context.SecurityContextHolderFilter@1cea8ccb, org.springframework.security.web.header.HeaderWriterFilter@c4fdfe5, org.springframework.web.filter.CorsFilter@16ee6a24, org.springframework.security.web.authentication.logout.LogoutFilter@13eead6c, com.prenotazioni.config.JwtAuthFilter@2a4acb19, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7ef55a9d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@358667a2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7eda5b0a, org.springframework.security.web.access.ExceptionTranslationFilter@4447897f, org.springframework.security.web.access.intercept.AuthorizationFilter@2fcb4b88]
2025-09-22 12:26:53.609 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-09-22 12:26:53.647 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-22 12:26:53.697 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-09-22 12:26:53.718 [restartedMain] INFO  c.prenotazioni.PrenotazioniAuleBackendApplication - Started PrenotazioniAuleBackendApplication in 7.81 seconds (process running for 8.422)
